,siteiid,peiid,pedon_id,site_id,obs_date,utmzone,utmeasting,utmnorthing,x,y,horizdatnm,x_std,y_std,gpspositionalerror,describer,pedonpurpose,pedontype,pedlabsampnum,labdatadescflag,tsectstopnum,tsectinterval,utransectid,tsectkind,tsectselmeth,elev_field,slope_field,aspect_field,plantassocnm,earthcovkind1,earthcovkind2,erocl,bedrckdepth,bedrckkind,bedrckhardness,hillslopeprof,geomslopeseg,shapeacross,shapedown,slopecomplex,drainagecl,geomposhill,geomposmntn,geomposflats,slope_shape,classdate,classifier,classtype,taxonname,localphase,taxonkind,seriesstatus,taxpartsize,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,soiltaxedition,osdtypelocflag,taxmoistcl,taxtempregime,taxfamother,psctopdepth,pscbotdepth,selection_method,ecositeid,ecositenm,ecositecorrdate,es_classifier,es_selection_method,umbric.epipedon,argillic.horizon,ochric.epipedon,cambic.horizon,lithic.contact,paralithic.contact,mollic.epipedon,paralithic.materials,kandic.horizon,lithologic.discontinuity,andic.soil.properties,densic.contact,abrupt.textural.change,aquic.conditions,duripan,slickensides,redox.depletions.with.chroma.2.or.less,redox.concentrations,reduced.matrix,densic.materials,volcanic.glass,folistic.epipedon,albic.materials,human.transported.material,strongly.contrasting.particle.size.class,secondary.carbonates,anthropic.epipedon,surface_fgravel,surface_gravel,surface_cobbles,surface_stones,surface_boulders,surface_channers,surface_flagstones,surface_paragravel,surface_paracobbles,landform_string,pmkind,pmorigin,sampled_as,musym,taxclname,correlated,grpiidref,grpname,correlated_matches
11,297066,260234,S07CA009005,S2007CA630SMM044,10/19/2007,10,726251,4259713,-120.4070587,38.45705795,NAD83,-120.4070587,38.4570541,NA,Sue Malone,laboratory sampling site,OSD pedon,08N0159,1,NA,NA,NA,NA,NA,1342,37,340,Sierran Mixed Conifer,NA,NA,NA,NA,NA,NA,backslope,NA,linear,linear,complex,well,NA,mountainflank,NA,linear / linear,10/26/2017,Andrew Brown,correlated,Lilygap,NA,series,tentative,medial over loamy,andisols,xerands,haploxerands,alfic humic haploxerands,twelfth edition,0,xeric,mesic,not used,8,108,most recent,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,ridge,volcanic ash & colluvium,"NA & volcanic, unspecified",Macmerten,4048,"Medial over loamy, amorphic over isotic, mesic Alfic Humic Haploxerands",Lilygap,26246,KSSL_Sites_RO2,TRUE
12,297067,258901,S07CA009008,S2007CA630SMM045,10/22/2007,10,724585,4256904,-120.4270248,38.43216324,NAD83,-120.4270248,38.4321671,NA,Sue Malone,laboratory sampling site,representative pedon for component,08N0161,1,NA,NA,NA,NA,NA,1266,10,120,Sierran Mixed Conifer,NA,NA,NA,91,tuff breccia,indurated,shoulder,NA,linear,convex,simple,well,NA,mountaintop,NA,linear / convex,12/28/2015,Andrew Paolucci,correlated,McCarthy,NA,taxadjunct,established,loamy-skeletal,inceptisols,xerepts,humixerepts,andic humixerepts,twelfth edition,0,xeric,mesic,NA,28,91,most recent,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,10,11,0,0,0,0,0,ridge,volcanic ash & residuum & colluvium,NA & tuff breccia,McCarthy,4040,"Loamy-skeletal, isotic, mesic Andic Humixerepts",McCarthy,26246,KSSL_Sites_RO2,TRUE
13,309596,268843,S08CA009003,S2007CA630SMM019,6/7/2007,10,728854.83,4252273.81,-120.3797226,38.38944244,NAD83,-120.3797226,38.3894463,NA,Sue Malone,laboratory sampling site,OSD pedon,08N0693,1,NA,NA,NA,NA,NA,1126,45,58,Sierran Mixed Conifer,NA,NA,NA,NA,NA,NA,backslope,middle third,concave,convex,NA,well,NA,"mountainflank, center third",NA,concave / convex,11/20/2017,Andrew Brown,correlated,Mantree,NA,series,established,fine-loamy,alfisols,xeralfs,haploxeralfs,andic palexeralfs,twelfth edition,1,xeric,mesic,not used,36,86,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,NA,colluvium & residuum,NA & granitoid,Musick,6039,"Fine-loamy, isotic, mesic Andic Palexeralfs",Mantree,26246,KSSL_Sites_RO2,TRUE
14,309597,261793,S08CA009001,S2007CA630DWB016,7/18/2007,10,720907,4227300,-120.478363,38.16653061,NAD83,-120.478363,38.1665268,NA,Dean Burkett,laboratory sampling site,OSD pedon,08N0691,1,NA,NA,NA,NA,NA,709,10,310,Montane-Hardwood-Conifer,NA,NA,NA,185,"schist, mica",moderately,backslope,upper third,NA,NA,NA,well,side slope,NA,NA,NA,12/28/2015,Andrew Paolucci,correlated,Nedsgulch,NA,series,tentative,fine-loamy,alfisols,xeralfs,palexeralfs,ultic palexeralfs,twelfth edition,1,xeric,mesic,NA,8,58,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,hillslope,colluvium & residuum,"schist, unspecified","Ultic Palexeralfs, very deep",8171,"Fine-loamy, mixed, semiactive, mesic Ultic Palexeralfs",Nedsgulch,26246,KSSL_Sites_RO2,TRUE
15,309598,307597,S08CA009002,S2008CA630DWB025,8/6/2008,10,726140.64,4230815.35,-120.4174957,38.19694519,NAD83,-120.4175034,38.1969452,NA,Dean Burkett,laboratory sampling site,representative pedon for component,08N0692,1,NA,NA,NA,NA,NA,1009,21,30,Sierran Mixed Conifer - Ponderosa pine,NA,NA,NA,NA,NA,NA,backslope,NA,convex,concave,NA,well,NA,mountaintop,NA,convex / concave,1/3/2018,Andrew Paolucci,correlated,Sites,NA,series,established,fine,ultisols,humults,haplohumults,xeric haplohumults,twelfth edition,0,xeric,mesic,NA,44,94,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,5,0,0,0,0,0,0,0,mountain slope,colluvium & residuum,"schist, mica",Marjonmine,8160,"Fine, parasesquic, mesic Xeric Haplohumults",Sites,26246,KSSL_Sites_RO2,TRUE
16,309599,307587,S08CA109001,S2008CA630AMS017,6/4/2008,10,734822.09,4196883.26,-120.3297195,37.88916397,NAD83,-120.3297195,37.8891678,NA,Alison Steglich,laboratory sampling site,OSD pedon,08N0694,1,NA,NA,NA,NA,NA,544,12,70,Blue Oak Woodland,NA,NA,NA,180,phyllite,moderately,backslope,middle third,linear,concave,simple,well,side slope,NA,NA,linear / concave,8/14/2018,Cathy Scott,correlated,Deerflat,NA,series,tentative,fine-loamy,alfisols,xeralfs,haploxeralfs,ultic haploxeralfs,twelfth edition,1,xeric,thermic,NA,20,70,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,erosion remnant,colluvium & residuum,phyllite,Deerflat,NA,"Fine-loamy, mixed, semiactive, thermic Ultic Haploxeralfs",Deerflat,26246,KSSL_Sites_RO2,TRUE
17,309600,249581,S08CA109002,S2007CA630RJV001,5/31/2007,10,741475,4187889,-120.2570953,37.80648422,NAD83,-120.2570953,37.8064842,NA,Robert Vobora,laboratory sampling site,taxadjunct to the series,08N0695,1,NA,NA,NA,NA,NA,805,69,135,Chaparral,NA,NA,NA,80,phyllite,indurated,backslope,NA,convex,convex,complex,well,side slope,NA,NA,convex / convex,12/28/2015,Andrew Paolucci,correlated,Moccasinhill,NA,taxadjunct,tentative,loamy-skeletal,inceptisols,xeralfs,haploxeralfs,ultic haploxeralfs,twelfth edition,0,xeric,thermic,NA,25,80,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,hillslope,residuum & colluvium,phyllite,Moccasinhill,8178,"Loamy-skeletal, mixed, active, thermic Ultic Haploxeralfs",Moccasinhill,26246,KSSL_Sites_RO2,TRUE
18,346939,307602,S09CA109003,S2008CA630BJM001,3/24/2008,10,733453.48,4201733.97,-120.3436127,37.93333054,NAD83,-120.3436127,37.9333344,NA,Ben Marshall,laboratory sampling site,TUD pedon,09N0870,1,NA,NA,NA,NA,NA,536,10,148,Interior Live Oak/Chaparral,NA,NA,NA,140,granodiorite,moderately,toeslope,NA,convex,linear,simple,well,nose slope,NA,NA,convex / linear,10/19/2017,Andrew Brown,correlated,Auberry,NA,taxadjunct,established,fine-loamy,mollisols,xerolls,argixerolls,ultic argixerolls,twelfth edition,0,xeric,thermic,not used,36,86,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,0,hillslope,colluvium & residuum,NA & granodiorite,Auberry,6074,"Fine-loamy, mixed, active, thermic Ultic Argixerolls",Auberry,26246,KSSL_Sites_RO2,TRUE
19,346940,342479,S09CA009001,S2008CA630DWB001,4/15/2008,10,714968,4231305,-120.5448914,38.20405579,NAD83,-120.5448914,38.2040558,NA,Dean Burkett,laboratory sampling site,taxadjunct to the series,09N0865,1,NA,NA,NA,NA,NA,717,24,160,Montane Hardwood Conifer,NA,NA,NA,204,"metasedimentary rock, unspecified",NA,backslope,NA,convex,convex,simple,NA,side slope,NA,NA,convex / convex,12/28/2015,Andrew Paolucci,correlated,Jocal,NA,taxadjunct,established,fine,ultisols,xerults,haploxerults,typic haploxerults,twelfth edition,0,xeric,mesic,NA,8,58,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,NA,NA,NA,"Ultic Palexeralfs, very deep",8172,"Fine, kaolinitic, mesic Typic Haploxerults",Jocal,26246,KSSL_Sites_RO2,TRUE
20,346941,308078,S09CA009003,S2008CA630DWB003,4/16/2008,10,715200.57,4231088.1,-120.5422211,38.20194626,NAD83,-120.5422211,38.2019463,NA,Dean Burkett,laboratory sampling site,OSD pedon,09N0867,1,NA,NA,NA,NA,NA,743,6,320,NA,NA,NA,NA,66,"schist, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/29/2015,Andrew Paolucci,correlated,Wallyhill,NA,taxadjunct,tentative,fine-loamy,ultisols,humults,haplohumults,xeric haplohumults,twelfth edition,1,xeric,mesic,NA,15,65,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,ridge,colluvium & residuum,NA,Wallyhill,8171,"Fine-loamy, mixed, semiactive, mesic Xeric Haplohumults",Wallyhill,26246,KSSL_Sites_RO2,TRUE
21,346942,338032,S09CA109002,S2009CA630BJM017,11/13/2008,10,742138.2,4182760.26,-120.2513885,37.75999832,NAD83,-120.2513885,37.7599983,NA,Ben Marshall,laboratory sampling site,OSD pedon,09N0869,1,NA,NA,NA,NA,NA,575,25,255,Serpentine Chaparral,NA,NA,NA,90,serpentinite,moderately,backslope,middle third,convex,linear,simple,well,side slope,NA,NA,convex / linear,6/22/2017,Cathy Scott,correlated,Crimeadark,NA,series,tentative,clayey-skeletal,alfisols,xeralfs,haploxeralfs,mollic haploxeralfs,twelfth edition,1,xeric,thermic,NA,18,68,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,20,10,1,0,0,0,0,0,hillslope,colluvium & colluvium & residuum,peridotite & serpentinite,Crimeadark,7156,"Clayey-skeletal, magnesic, thermic Mollic Haploxeralfs",Crimeadark,26246,KSSL_Sites_RO2,TRUE
22,346943,342447,S09CA109004,S2009CA630BJM031,3/25/2009,10,720170.55,4194359.47,-120.4969406,37.86999893,NAD83,-120.4969406,37.8699989,NA,Ben Marshall,laboratory sampling site,undefined observation,09N0871,1,NA,NA,NA,NA,NA,333,3,295,Mixed Chapparel - Serpentine,NA,NA,NA,90,serpentinite,indurated,toeslope,NA,linear,concave,simple,moderately well,NA,NA,NA,linear / concave,12/23/2015,Andrew Paolucci,correlated,Aquic Argixerolls,NA,series,NA,loamy-skeletal,mollisols,xerolls,argixerolls,aquic argixerolls,twelfth edition,0,xeric,thermic,NA,15,65,most recent,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,2,0,0,0,0,0,0,0,stream terrace,alluvium & residuum,serpentinite,Fancher,NA,"Loamy-skeletal, mixed, superactive, thermic Aquic Argixerolls",Aquic Argixerolls,26246,KSSL_Sites_RO2,TRUE
