"","coiid","nationalmusym","dmuiid","musym","muname","mustatus","compname","comppct_r","slope_l","slope_h","drainagecl","ecosite_id","taxclname","pmkind","pmorigin","landform_string","modaldepthcl","drange"
"493",2630229,"2x8lf",793524,"128","Cogna loam, 0 to 2 percent slopes, overwash, MLRA 17","provisional","Cogna",85,0,2,"well","R018XI999CA","Fine-silty, mixed, superactive, thermic Calcic Pachic Haploxerolls","alluvium","NA","alluvial fan","VD","None"
"506",2630249,"2x8lf",793524,"128","Cogna loam, 0 to 2 percent slopes, overwash, MLRA 17","provisional","Archerdale",6,0,2,"well","R018XI999CA","Fine, mixed, superactive, thermic Pachic Haploxerolls","alluvium","NA","stream terrace","VD","None"
"497",2630240,"2x8lf",793524,"128","Cogna loam, 0 to 2 percent slopes, overwash, MLRA 17","provisional","Nord",4,0,2,"well","R018XI999CA","Coarse-loamy, mixed, superactive, thermic Pachic Haploxerolls","alluvium","NA","fan remnant","VD","None"
"494",2630236,"2x8lf",793524,"128","Cogna loam, 0 to 2 percent slopes, overwash, MLRA 17","provisional","Veritas",3,0,2,"moderately well","R018XI999CA","Coarse-loamy, mixed, superactive, thermic Typic Haploxerolls","alluvium","NA","fan remnant","D","D"
"495",2630237,"2x8lf",793524,"128","Cogna loam, 0 to 2 percent slopes, overwash, MLRA 17","provisional","Columbia",1,0,2,"somewhat poorly","R018XI999CA","Coarse-loamy, mixed, superactive, nonacid, thermic Oxyaquic Xerofluvents","alluvium","NA","flood plain","VD","None"
"496",2630238,"2x8lf",793524,"128","Cogna loam, 0 to 2 percent slopes, overwash, MLRA 17","provisional","Honcut",1,0,2,"well","R018XI999CA","Coarse-loamy, mixed, superactive, nonacid, thermic Typic Xerorthents","alluvium","granite","flood plain","VD","None"
"361",2517005,"2x8l2",793510,"206","Pentz sandy loam, 2 to 15 percent slopes","provisional","Pentz",85,2,15,"well","R018XI163CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"362",2517006,"2x8l2",793510,"206","Pentz sandy loam, 2 to 15 percent slopes","provisional","Bellota",3,2,8,"well","R018XI163CA","Fine-loamy, mixed, superactive, thermic Abruptic Durixeralfs","alluvium & residuum","NA & tuff, basic","fan remnant","MD","S-MD"
"363",2517007,"2x8l2",793510,"206","Pentz sandy loam, 2 to 15 percent slopes","provisional","Alamo",2,0,2,"poorly","R018XI999CA","Fine, smectitic, thermic Typic Duraquolls","alluvium","NA","drainageway & fan remnant & depression","MD","MD"
"501",2630244,"2x8l2",793510,"206","Pentz sandy loam, 2 to 15 percent slopes","provisional","Miltonhills",2,15,30,"well","F018XI200CA","Coarse-loamy, mixed, superactive, thermic Typic Humixerepts","colluvium & residuum","tuff, acidic","eroded fan remnant sideslope","MD","MD"
"500",2630243,"2x8l2",793510,"206","Pentz sandy loam, 2 to 15 percent slopes","provisional","Ospital",2,2,15,"moderately well","R018XI164CA","Loamy, mixed, active, acid, thermic Lithic Xerorthents","residuum","tuff, acidic","erosion remnant","VS","VS"
"364",2517012,"2x8l2",793510,"206","Pentz sandy loam, 2 to 15 percent slopes","provisional","Pardee",2,2,8,"well","R018XI163CA","Loamy-skeletal, mixed, superactive, thermic Lithic Mollic Haploxeralfs","alluvium & residuum","NA & conglomerate, unspecified","ridge & eroded fan remnant","S","S"
"365",2517013,"2x8l2",793510,"206","Pentz sandy loam, 2 to 15 percent slopes","provisional","Peters",2,2,8,"well","R018XI164CA","Clayey, smectitic, thermic, shallow Typic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"366",2517014,"2x8l2",793510,"206","Pentz sandy loam, 2 to 15 percent slopes","provisional","Redding",2,0,8,"moderately well","R018XI163CA","Fine, mixed, active, thermic Abruptic Durixeralfs","alluvium","NA","fan remnant","MD","S-MD"
"367",2517018,"2x8l3",793512,"207","Pentz sandy loam, 15 to 50 percent slopes","provisional","Pentz",85,15,50,"well","R018XI163CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"369",2517025,"2x8l3",793512,"207","Pentz sandy loam, 15 to 50 percent slopes","provisional","Bellota",5,2,8,"well","R018XI163CA","Fine-loamy, mixed, superactive, thermic Abruptic Durixeralfs","alluvium & residuum","NA & tuff, basic","fan remnant","MD","S-MD"
"502",2630245,"2x8l3",793512,"207","Pentz sandy loam, 15 to 50 percent slopes","provisional","Miltonhills",2,15,50,"well","F018XI200CA","Coarse-loamy, mixed, superactive, thermic Typic Humixerepts","colluvium & residuum","tuff, acidic","eroded fan remnant sideslope","MD","MD"
"499",2630242,"2x8l3",793512,"207","Pentz sandy loam, 15 to 50 percent slopes","provisional","Ospital",2,2,15,"moderately well","R018XI163CA","Loamy, mixed, active, acid, thermic Lithic Xerorthents","residuum","tuff, acidic","erosion remnant","VS","VS"
"454",2630127,"2x8l3",793512,"207","Pentz sandy loam, 15 to 50 percent slopes","provisional","Pardee",2,2,8,"well","R018XI163CA","Loamy-skeletal, mixed, superactive, thermic Lithic Mollic Haploxeralfs","alluvium & residuum","NA & conglomerate, unspecified","ridge & eroded fan remnant","S","S"
"370",2517026,"2x8l3",793512,"207","Pentz sandy loam, 15 to 50 percent slopes","provisional","Redding",2,0,8,"moderately well","R018XI163CA","Fine, mixed, active, thermic Abruptic Durixeralfs","alluvium","NA","fan remnant","MD","S-MD"
"368",2517024,"2x8l3",793512,"207","Pentz sandy loam, 15 to 50 percent slopes","provisional","Rock outcrop",2,5,50,NA,NA,NA,NA,NA,"hill","NA","None"
"455",2630129,"2x8l4",793513,"208","Pentz cobbly sandy loam, 2 to 8 percent slopes","provisional","Pentz",85,2,8,"well","R018XI163CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"456",2630136,"2x8l4",793513,"208","Pentz cobbly sandy loam, 2 to 8 percent slopes","provisional","Peters",6,2,8,"well","R018XI164CA","Clayey, smectitic, thermic, shallow Typic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"458",2630138,"2x8l4",793513,"208","Pentz cobbly sandy loam, 2 to 8 percent slopes","provisional","Pardee",3,5,15,"well","R018XI163CA","Loamy-skeletal, mixed, superactive, thermic Lithic Mollic Haploxeralfs","alluvium & residuum","NA & conglomerate, unspecified","ridge & eroded fan remnant","S","S"
"457",2630137,"2x8l4",793513,"208","Pentz cobbly sandy loam, 2 to 8 percent slopes","provisional","Redding",3,0,8,"moderately well","R018XI163CA","Fine, mixed, active, thermic Abruptic Durixeralfs","alluvium","NA","fan remnant","MD","S-MD"
"459",2630140,"2x8l4",793513,"208","Pentz cobbly sandy loam, 2 to 8 percent slopes","provisional","Alamo",2,0,2,"poorly","R018XI999CA","Fine, smectitic, thermic Typic Duraquolls","alluvium","NA","drainageway & fan remnant & depression","MD","MD"
"498",2630241,"2x8l4",793513,"208","Pentz cobbly sandy loam, 2 to 8 percent slopes","provisional","Ospital",1,2,15,"moderately well","R018XI163CA","Loamy, mixed, active, acid, thermic Lithic Xerorthents","residuum","tuff, acidic","erosion remnant","VS","VS"
"460",2630149,"2x8l5",793514,"209","Pentz-Bellota complex, 2 to 15 percent slopes","provisional","Pentz",55,5,15,"well","R018XI163CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"461",2630150,"2x8l5",793514,"209","Pentz-Bellota complex, 2 to 15 percent slopes","provisional","Bellota",31,2,8,"well","R018XI163CA","Fine-loamy, mixed, superactive, thermic Abruptic Durixeralfs","alluvium & residuum","NA & tuff, basic","fan remnant","MD","S-MD"
"464",2630159,"2x8l5",793514,"209","Pentz-Bellota complex, 2 to 15 percent slopes","provisional","Peters",8,2,8,"well","R018XI164CA","Clayey, smectitic, thermic, shallow Typic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"463",2630158,"2x8l5",793514,"209","Pentz-Bellota complex, 2 to 15 percent slopes","provisional","Archerdale",3,0,2,"well","R018XI999CA","Fine, mixed, superactive, thermic Pachic Haploxerolls","alluvium","NA","stream terrace & drainageway","VD","None"
"465",2630160,"2x8l5",793514,"209","Pentz-Bellota complex, 2 to 15 percent slopes","provisional","Pardee",2,5,15,"well","R018XI163CA","Loamy-skeletal, mixed, superactive, thermic Lithic Mollic Haploxeralfs","alluvium & residuum","NA & conglomerate, unspecified","ridge & eroded fan remnant","S","S"
"462",2630157,"2x8l5",793514,"209","Pentz-Bellota complex, 2 to 15 percent slopes","provisional","Hicksville",1,2,5,"moderately well","R018XI999CA","Fine-loamy, mixed, superactive, thermic Mollic Haploxeralfs","alluvium","NA","stream terrace & drainageway","D","D"
"466",2630166,"2x8l6",793515,"212","Peters clay, 2 to 8 percent slopes","provisional","Peters",85,2,8,"well","R018XI164CA","Clayey, smectitic, thermic, shallow Typic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"467",2630167,"2x8l6",793515,"212","Peters clay, 2 to 8 percent slopes","provisional","Pentz",5,5,15,"well","R018XI163CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"468",2630168,"2x8l6",793515,"212","Peters clay, 2 to 8 percent slopes","provisional","Redding",4,0,8,"moderately well","R018XI163CA","Fine, mixed, active, thermic Abruptic Durixeralfs","alluvium","NA","fan remnant","MD","S-MD"
"469",2630170,"2x8l6",793515,"212","Peters clay, 2 to 8 percent slopes","provisional","Alamo",3,0,2,"poorly","R018XI999CA","Fine, smectitic, thermic Typic Duraquolls","alluvium","NA","drainageway & fan remnant & depression","MD","MD"
"470",2630171,"2x8l6",793515,"212","Peters clay, 2 to 8 percent slopes","provisional","Pardee",3,2,15,"well","R018XI163CA","Loamy-skeletal, mixed, superactive, thermic Lithic Mollic Haploxeralfs","alluvium & residuum","NA & conglomerate, unspecified","ridge & eroded fan remnant","S","S"
"505",2630248,"2x8ld",793523,"301","Archerdale-Hicksville association, 0 to 2 percent slopes, MLRA 17","provisional","Archerdale",65,0,2,"well","R018XI999CA","Fine, mixed, superactive, thermic Pachic Haploxerolls","alluvium","NA","stream terrace","VD","None"
"507",2630250,"2x8ld",793523,"301","Archerdale-Hicksville association, 0 to 2 percent slopes, MLRA 17","provisional","Hicksville",20,0,2,"moderately well","R018XI999CA","Fine-loamy, mixed, superactive, thermic Mollic Haploxeralfs","alluvium","NA","stream terrace","VD","None"
"508",2630251,"2x8ld",793523,"301","Archerdale-Hicksville association, 0 to 2 percent slopes, MLRA 17","provisional","Hollenbeck",7,1,3,"moderately well","R018XI999CA","Fine, smectitic, thermic Chromic Haploxererts","alluvium","NA","backswamp & flood plain & swale","D","D"
"560",2635143,"2x8ld",793523,"301","Archerdale-Hicksville association, 0 to 2 percent slopes, MLRA 17","provisional","Ultic Haploxerolls",5,0,3,"well","R018XI999CA","Loamy-skeletal, mixed, active, thermic Ultic Haploxerolls","alluvium","metamorphic, unspecified","meander scar & stream terrace","D","None"
"490",2630226,"2x8ld",793523,"301","Archerdale-Hicksville association, 0 to 2 percent slopes, MLRA 17","provisional","Capay",1,0,2,"moderately well","R018XI999CA","Fine, smectitic, thermic Typic Haploxererts","alluvium","NA","basin floor","VD","None"
"492",2630228,"2x8ld",793523,"301","Archerdale-Hicksville association, 0 to 2 percent slopes, MLRA 17","provisional","Finrod",1,0,2,"moderately well","R018XI999CA","Fine, mixed, superactive, thermic Pachic Haploxerolls","alluvium","NA","alluvial fan","D","D"
"491",2630227,"2x8ld",793523,"301","Archerdale-Hicksville association, 0 to 2 percent slopes, MLRA 17","provisional","Nord",1,0,2,"well","R018XI999CA","Coarse-loamy, mixed, superactive, thermic Pachic Haploxerolls","alluvium","NA","fan remnant","VD","None"
"321",2516900,"22788",531724,"3020","Iron Mountain-Rock outcrop complex, 3 to 15 percent slopes","approved","Iron Mountain",75,3,15,"somewhat excessively","R022AI101CA","Loamy, mixed, superactive, mesic Lithic Haploxerolls","residuum & residuum","conglomerate, unspecified & tuff breccia","lahar","VS","VS"
"322",2516903,"22788",531724,"3020","Iron Mountain-Rock outcrop complex, 3 to 15 percent slopes","approved","Rock outcrop",15,3,15,NA,NA,NA,NA,NA,"lahar","NA","None"
"354",2516960,"22788",531724,"3020","Iron Mountain-Rock outcrop complex, 3 to 15 percent slopes","approved","McCarthy",10,3,15,"well","R022AI103CA","Loamy-skeletal, isotic, mesic Andic Humixerepts","colluvium & residuum","tuff breccia","lahar","MD","MD-D"
"323",2516905,"2mdj8",546282,"3021","Iron Mountain-Crozier-Rock outcrop complex, 15 to 60 percent slopes","provisional","Iron Mountain",40,15,60,"somewhat excessively","R022AI101CA","Loamy, mixed, superactive, mesic Lithic Haploxerolls","colluvium & colluvium & residuum & residuum","conglomerate, unspecified & tuff breccia","lahar","VS","VS"
"324",2516906,"2mdj8",546282,"3021","Iron Mountain-Crozier-Rock outcrop complex, 15 to 60 percent slopes","provisional","Crozier",35,15,60,"well","R022AI103CA","Fine-loamy, isotic, mesic Andic Haploxeralfs","colluvium & residuum","tuff breccia","lahar","MD","MD"
"325",2516908,"2mdj8",546282,"3021","Iron Mountain-Crozier-Rock outcrop complex, 15 to 60 percent slopes","provisional","Rock outcrop",15,15,60,NA,NA,NA,NA,NA,"lahar","NA","None"
"353",2516959,"2mdj8",546282,"3021","Iron Mountain-Crozier-Rock outcrop complex, 15 to 60 percent slopes","provisional","McCarthy",10,15,60,"well","R022AI103CA","Loamy-skeletal, isotic, mesic Andic Humixerepts","colluvium & residuum","tuff breccia","lahar","MD","MD-D"
"357",2516963,"2p8nd",556008,"3033","Redapple-Lilygap complex, 15 to 30 percent slopes, low precipitation","approved","Redapple",47,15,30,"well","F022AI202CA","Fine, isotic, mesic Andic Palehumults","colluvium & residuum","tuff breccia","lahar","VD","MD"
"355",2516961,"2p8nd",556008,"3033","Redapple-Lilygap complex, 15 to 30 percent slopes, low precipitation","approved","Lilygap",39,15,30,"well","F022AI202CA","Medial over loamy, amorphic over isotic, mesic Alfic Humic Haploxerands","colluvium & residuum","tuff breccia","lahar","VD","VD"
"356",2516962,"2p8nd",556008,"3033","Redapple-Lilygap complex, 15 to 30 percent slopes, low precipitation","approved","Devilsnose",10,15,30,"well","F022AI202CA","Medial over loamy-skeletal, mixed over isotic, mesic Alfic Humic Vitrixerands","colluvium & residuum","tuff breccia","lahar","VD","VD"
"346",2516951,"2p8nd",556008,"3033","Redapple-Lilygap complex, 15 to 30 percent slopes, low precipitation","approved","Ledmount",3,15,30,"well","F022AI201CA","Medial, amorphic, mesic Lithic Haploxerands","colluvium & residuum","tuff breccia","lahar","S","S"
"348",2516954,"2p8nd",556008,"3033","Redapple-Lilygap complex, 15 to 30 percent slopes, low precipitation","approved","Rock outcrop",1,15,30,NA,NA,NA,NA,NA,"lahar","NA","None"
"358",2516964,"2djch",539603,"3038","Devilsnose-Lilygap complex, 30 to 60 perecent slopes, low precipitation","approved","Devilsnose",40,30,60,"well","F022AI202CA","Medial over loamy-skeletal, mixed over isotic, mesic Alfic Humic Vitrixerands","colluvium & residuum","tuff breccia","lahar","VD","VD"
"359",2516965,"2djch",539603,"3038","Devilsnose-Lilygap complex, 30 to 60 perecent slopes, low precipitation","approved","Lilygap",35,30,60,"well","F022AI202CA","Medial over loamy, amorphic over isotic, mesic Alfic Humic Haploxerands","colluvium & residuum","tuff breccia","lahar","VD","VD"
"360",2516966,"2djch",539603,"3038","Devilsnose-Lilygap complex, 30 to 60 perecent slopes, low precipitation","approved","Redapple",12,30,60,"well","F022AI202CA","Fine, isotic, mesic Andic Palehumults","colluvium & residuum","tuff breccia","lahar","VD","MD"
"347",2516953,"2djch",539603,"3038","Devilsnose-Lilygap complex, 30 to 60 perecent slopes, low precipitation","approved","Iron Mountain",10,30,60,"somewhat excessively","R022AI101CA","Loamy, mixed, superactive, mesic Lithic Haploxerolls","colluvium & colluvium & residuum & residuum","conglomerate, unspecified & tuff breccia","lahar","VS","VS"
"349",2516955,"2djch",539603,"3038","Devilsnose-Lilygap complex, 30 to 60 perecent slopes, low precipitation","approved","Rock outcrop",3,30,60,NA,NA,NA,NA,NA,"lahar","NA","None"
"199",2250146,"20mmx",524297,"3046","Goldwall-Railtown-Rock outcrop complex, 1 to 8 percent slopes","approved","Goldwall",45,1,8,"somewhat excessively","R018XI101CA","Loamy, mixed, superactive, nonacid, thermic Lithic Xerorthents","residuum","latite","lava plateau","VS","VS"
"18",1778537,"20mmx",524297,"3046","Goldwall-Railtown-Rock outcrop complex, 1 to 8 percent slopes","approved","Railtown",28,1,8,"somewhat excessively","R018XI101CA","Loamy, mixed, superactive, thermic Lithic Haploxerepts","residuum","latite","lava plateau","S","S"
"4",1685668,"20mmx",524297,"3046","Goldwall-Railtown-Rock outcrop complex, 1 to 8 percent slopes","approved","Rock outcrop",20,1,25,NA,NA,NA,NA,NA,"lava plateau","NA","None"
"3",1685667,"20mmx",524297,"3046","Goldwall-Railtown-Rock outcrop complex, 1 to 8 percent slopes","approved","Ultic Argixerolls",5,0,3,"well","F018XI207CA","Thermic Ultic Argixerolls","residuum","latite","lava plateau","MD","MD"
"200",2250147,"20mmx",524297,"3046","Goldwall-Railtown-Rock outcrop complex, 1 to 8 percent slopes","approved","Aquic Haploxeralfs",2,0,3,"poorly","R018XI101CA","Thermic Aquic Haploxeralfs","residuum & alluvium","latite","lava plateau","MD","MD"
"177",2074000,"2n89j",552168,"3058","Shawsflat-Angelscreek complex, 25 to 60 percent slopes","provisional","Shawsflat",65,25,60,"well","F018XI201CA","Loamy-skeletal, mixed, superactive, thermic Ultic Haploxerolls","colluvium & residuum","latite & volcanic and sedimentary","lava plateau","MD","MD"
"93",1844291,"2n89j",552168,"3058","Shawsflat-Angelscreek complex, 25 to 60 percent slopes","provisional","Angelscreek",15,25,60,"well","F018XI207CA","Loamy-skeletal, kaolinitic, thermic Pachic Ultic Argixerolls","colluvium","latite","lava plateau","VD","None"
"399",2528894,"2n89j",552168,"3058","Shawsflat-Angelscreek complex, 25 to 60 percent slopes","provisional","Miltonhills",5,25,60,"well","F018XI202CA","Coarse-loamy, mixed, superactive, thermic Typic Humixerepts","colluvium & residuum","latite & tuff, acidic","lava plateau","MD","MD"
"398",2528893,"2n89j",552168,"3058","Shawsflat-Angelscreek complex, 25 to 60 percent slopes","provisional","Pentz",5,25,60,"well","R018XI107CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","residuum","sandstone, volcanic","lava plateau","VS","VS-S"
"162",2045890,"2n89j",552168,"3058","Shawsflat-Angelscreek complex, 25 to 60 percent slopes","provisional","Rock outcrop",5,25,90,NA,NA,NA,NA,NA,"free face & lava plateau","NA","None"
"397",2528892,"2n89j",552168,"3058","Shawsflat-Angelscreek complex, 25 to 60 percent slopes","provisional","Rubbleland",5,25,90,NA,NA,NA,"talus","latite","rockfall & lava plateau","NA","None"
"472",2630174,"2x8l8",793520,"401","Peters-Pentz association, 2 to 8 percent slopes","provisional","Peters",60,2,5,"well","R018XI164CA","Clayey, smectitic, thermic, shallow Typic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"479",2630203,"2x8l8",793520,"401","Peters-Pentz association, 2 to 8 percent slopes","provisional","Pentz",25,5,8,"well","R018XI163CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"476",2630200,"2x8l8",793520,"401","Peters-Pentz association, 2 to 8 percent slopes","provisional","Redding",7,2,5,"moderately well","R018XI163CA","Fine, mixed, active, thermic Abruptic Durixeralfs","alluvium","NA","fan remnant","MD","S-MD"
"471",2630173,"2x8l8",793520,"401","Peters-Pentz association, 2 to 8 percent slopes","provisional","Pentz",3,5,15,"well","R018XI163CA","Loamy, mixed, superactive, thermic, shallow Ultic Haploxerolls","colluvium & residuum","tuff, basic","hill","S","S"
"477",2630201,"2x8l8",793520,"401","Peters-Pentz association, 2 to 8 percent slopes","provisional","Archerdale",2,0,2,"well","R018XI999CA","Fine, mixed, superactive, thermic Pachic Haploxerolls","alluvium","NA","stream terrace & drainageway","VD","None"
"478",2630202,"2x8l8",793520,"401","Peters-Pentz association, 2 to 8 percent slopes","provisional","Hicksville",1,0,2,"moderately well","R018XI999CA","Fine-loamy, mixed, superactive, thermic Mollic Haploxeralfs","alluvium","NA","stream terrace & drainageway","VD","None"
"480",2630204,"2x8l8",793520,"401","Peters-Pentz association, 2 to 8 percent slopes","provisional","Hollenbeck",1,1,3,"moderately well","R018XI999CA","Fine, smectitic, thermic Chromic Haploxererts","alluvium","NA","backswamp & flood plain & swale","D","D"
"570",2635153,"2x8l8",793520,"401","Peters-Pentz association, 2 to 8 percent slopes","provisional","Miltonhills",1,8,30,"well","F018XI200CA","Coarse-loamy, mixed, superactive, thermic Typic Humixerepts","colluvium & residuum","tuff, acidic","eroded fan remnant sideslope","MD","MD"
"342",2516941,"2r6fg",589721,"4040","Iron Mountain-Redapple-Devilsnose complex, 3 to 15 percent slopes","approved","Iron Mountain",35,3,15,"somewhat excessively","R022AI101CA","Loamy, mixed, superactive, mesic Lithic Haploxerolls","residuum & residuum","conglomerate, unspecified & tuff breccia","lahar","VS","VS"
"335",2516928,"2r6fg",589721,"4040","Iron Mountain-Redapple-Devilsnose complex, 3 to 15 percent slopes","approved","Redapple",30,3,15,"well","F022AG202CA","Fine, isotic, mesic Andic Palehumults","colluvium & residuum","tuff breccia","lahar","VD","MD"
"344",2516947,"2r6fg",589721,"4040","Iron Mountain-Redapple-Devilsnose complex, 3 to 15 percent slopes","approved","Devilsnose",25,3,15,"well","F022AG202CA","Medial over loamy-skeletal, mixed over isotic, mesic Alfic Humic Vitrixerands","colluvium & residuum","tuff breccia","lahar","VD","VD"
"345",2516948,"2r6fg",589721,"4040","Iron Mountain-Redapple-Devilsnose complex, 3 to 15 percent slopes","approved","McCarthy",5,3,15,"well","F022AI201CA","Loamy-skeletal, isotic, mesic Andic Humixerepts","colluvium & residuum","tuff breccia","lahar","MD","MD-D"
"350",2516956,"2r6fg",589721,"4040","Iron Mountain-Redapple-Devilsnose complex, 3 to 15 percent slopes","approved","Rock outcrop",5,3,15,NA,NA,NA,NA,NA,"lahar","NA","None"
"341",2516937,"2djcm",539604,"4046","Redapple-Lilygap complex, 15 to 30 percent slopes","approved","Redapple",50,15,30,"well","F022AG202CA","Fine, isotic, mesic Andic Palehumults","colluvium & residuum","tuff breccia","lahar","VD","MD"
"336",2516929,"2djcm",539604,"4046","Redapple-Lilygap complex, 15 to 30 percent slopes","approved","Lilygap",39,15,30,"well","F022AG202CA","Medial over loamy, amorphic over isotic, mesic Alfic Humic Haploxerands","colluvium & residuum","tuff breccia","lahar","VD","VD"
"340",2516936,"2djcm",539604,"4046","Redapple-Lilygap complex, 15 to 30 percent slopes","approved","Devilsnose",10,15,30,"well","F022AG202CA","Medial over loamy-skeletal, mixed over isotic, mesic Alfic Humic Vitrixerands","colluvium & residuum","tuff breccia","lahar","VD","VD"
"351",2516957,"2djcm",539604,"4046","Redapple-Lilygap complex, 15 to 30 percent slopes","approved","Rock outcrop",1,15,30,NA,NA,NA,NA,NA,"lahar","NA","None"
"337",2516930,"2djcl",539605,"4048","Devilsnose-Lilygap complex, 30 to 60 perecent slopes","approved","Devilsnose",50,30,60,"well","F022AG201CA","Medial over loamy-skeletal, mixed over isotic, mesic Alfic Humic Vitrixerands","colluvium & residuum","tuff breccia","lahar","VD","VD"
"338",2516932,"2djcl",539605,"4048","Devilsnose-Lilygap complex, 30 to 60 perecent slopes","approved","Lilygap",35,30,60,"well","F022AG202CA","Medial over loamy, amorphic over isotic, mesic Alfic Humic Haploxerands","colluvium & residuum","tuff breccia","lahar","VD","VD"
"339",2516933,"2djcl",539605,"4048","Devilsnose-Lilygap complex, 30 to 60 perecent slopes","approved","Redapple",13,30,60,"well","F022AG202CA","Fine, isotic, mesic Andic Palehumults","colluvium & residuum","tuff breccia","lahar","VD","MD"
"352",2516958,"2djcl",539605,"4048","Devilsnose-Lilygap complex, 30 to 60 perecent slopes","approved","Rock outcrop",2,30,60,NA,NA,NA,NA,NA,"lahar","NA","None"
"120",2028950,"2kq0n",539606,"4136","Ultic Haploxeralfs, moderately deep-Ultic Haploxeralfs, shallow complex, 10 to 35 percent slopes","provisional","Ultic Haploxeralfs",50,10,35,"well","F018XI201CA","Ultic Haploxeralfs","colluvium & residuum & residuum","latite & metamorphic, unspecified & volcanic, unspecified","hill","MD","MD"
"157",2045866,"2kq0n",539606,"4136","Ultic Haploxeralfs, moderately deep-Ultic Haploxeralfs, shallow complex, 10 to 35 percent slopes","provisional","Ultic Haploxeralfs",50,10,35,"well","R018XI107CA","Shallow Ultic Haploxeralfs","colluvium & residuum & residuum","latite & metamorphic, unspecified & volcanic, unspecified","hill","S","S-MD"
"143",2045838,"2r1bw",615229,"4200","Inks-Angelscreek complex, 3 to 15 percent slopes","provisional","Inks",67,3,15,"well","R018XI107CA","Loamy-skeletal, mixed, superactive, thermic Lithic Argixerolls","residuum & residuum","conglomerate, unspecified & tuff breccia","ridge & lahar","S","VS-S"
