STA,Station Name,Elevation,Latitude,Longitude,Nearby City,Hydro,Basin,Owner,Maintenance,Operator,Map,Collect,County Name,Basin Name,Agency Name,Hydro Area,Sensors,
BPM,BIG PINE MEADOW,7340,35.947,-118.063,KERNVILLE,7,9701, , ,115,39,0,KERN,KERN R,Kern County,TULARE LAKE,"14,16",
BPN,BIG PINE PH 3,4680,37.126,-118.323,BIG PINE,9,11001, , ,999,26,0,INYO,OWENS R,None Specified,SOUTH LAHONTAN,"2",
BRM,BEAR TRAP MEADOW,6800,36.676,-118.858,PINEHURST,7,9501, , ,56,32,0,TULARE,KAWEAH R,US Army Corps of Engineers,TULARE LAKE,"2,45,203",
BRS,BRUSH CREEK (DWR),3560,39.692,-121.339,BRUSH CREEK,5,7301,701,999,703,13,0,BUTTE,FEATHER R,CA Dept of Water Resources/O & M,SACRAMENTO RIVER,"2,14,45,203",
BSN,BIG SANDY,5757,37.4684,-119.5856,FISH CAMP,6,8701, , ,250,25,0,MARIPOSA,MERCED R,UC Merced,SAN JOAQUIN RIVER,"2,9,10,12,14,18,26,30,31,32,77,103,105,106,108",
BTB,SF BATTLE CK BLW DIV TO COLEMAN CANAL,1160,40.40251,-121.969078,DALES,5,6501, , ,60,8,20,TEHAMA,SACRAMENTO R,Pacific Gas & Electric,SACRAMENTO RIVER,"20",
BTM,BUTTE MEADOWS,4880,40.1,-121.5,BUTTE MEADOWS,5,7301, , ,3,9,0,BUTTE,FEATHER R,CAL FIRE,SACRAMENTO RIVER,"2,4,9,10,12,13,14",
BTP,BEAR TRAP,5217,39.0945,-120.5769,FOREST HILL,5,7701, , ,250,14,0,PLACER,AMERICAN R,UC Merced,SACRAMENTO RIVER,"2,9,10,12,14,18,26,30,31,32,77,103,105,106,108",
BUC,BUCHANAN DAM,450,37.213,-119.97,RAYMOND,6,8801, , ,56,25,0,MADERA,CHOWCHILLA R,US Army Corps of Engineers,SAN JOAQUIN RIVER,"2,6,7,15,22,23,31,32,45,76,91,94,200",
BWC,BUTTE CREEK NR WESTERN CANAL,204,39.555721282959,-121.83650970459,CHICO,5,7201, , ,1,13,0,BUTTE,BUTTE CR,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20,25,41",
BWD,BROWNS CK DIVERSION CANAL NR BASS LAKE,3583,37.2886,-119.5192,BASS LAKE,6,9001, , ,60,25,0,MADERA,SAN JOAQUIN R,Pacific Gas & Electric,SAN JOAQUIN RIVER,"1,14",
CCS,CACHE SLOUGH,0,38.295,-121.742,RIO VISTA,5,8101, , ,50,17,0,SOLANO,DELTA,US Bureau of Reclamation,SACRAMENTO RIVER,"14,25,100",
CEI,CHERRY CREEK NEAR EARLY INTAKE,2272,37.8943672180176,-119.962684631348,MATHER,6,8601, , ,58,25,0,TUOLUMNE,TUOLUMNE R,US Geological Survey,SAN JOAQUIN RIVER,"1,14,20,25",
CES,CHICO UNIV FARM,185,39.7,-121.817,,5,7001, , ,40,13,0,BUTTE,SACTO VLY NE,National Weather Service,SACRAMENTO RIVER,"2",
CFM,CLARK FORK MEADOW,8900,38.362,-119.68,DARDANELLE,6,8501, , ,67,19,0,ALPINE,STANISLAUS R,Pacific Gas and Electric Company, Angels Camp,SAN JOAQUIN RIVER,"3,18,82",
CHC,CHEROKEE CANAL NR RICHVALE,106,39.4647026062012,-121.744735717773,RICHVALE,5,6901, , ,1,13,0,BUTTE,COTTONWOOD CR,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,20",
CHI,CHICO,230,39.712,-121.783,DURHAM,5,7201, , ,3,13,0,BUTTE,BUTTE CR,CAL FIRE,SACRAMENTO RIVER,"2,4,9,10,11,12,13,14,26,30,31,32,45,77,78",
CHR,CHEROKEE CANAL,360,39.652,-121.643,CHICO,5,6501, , ,1,13,0,BUTTE,SACRAMENTO R,CA Dept of Water Resources,SACRAMENTO RIVER,"4,14,16",
CHT,PAJARO RIVER AT CHITTENDEN,82,36.9002304077148,-121.597724914551,CHITTENDEN,3,3201,700,700,5,29,0,SANTA CRUZ,PAJARO R,USGS and DWR,CENTRAL COAST,"1,2,14,16,20,41,45,169",
CHV,CHERRY VALLEY DAM,4765,37.967,-119.917,BUCK MEADOWS,6,8601, , ,94,25,0,TUOLUMNE,TUOLUMNE R,Hetch Hetchy Water and Power,SAN JOAQUIN RIVER,"6,15,22,23,45,76",
CLI,CLIFF CAMP,6300,36.987,-118.975,FRESNO,7,9401, , ,999,32,0,FRESNO,KINGS R,None Specified,TULARE LAKE,"3,18,82",
CLV,RUSSIAN RIVER AT CLOVERDALE,107,38.8793487548828,-123.053611755371,CLOVERDALE,1,1601,58,58,700,15,0,MENDOCINO,RUSSIAN R,CA Dept of Water Resources/Flood Management,NORTH COAST,"1,2,14,16,20,41,45,61,146",
CMA,CASE MOUNTAIN,6450,36.411,-118.809,VISALIA,7,9501, , ,59,32,0,TULARE,KAWEAH R,US Bureau of Land Management,TULARE LAKE,"2,4,9,10,11,12,13,14,26,77,78",
CMI,CAMINO,3000,38.833,-120.533,POLLACK PINES,5,7701, , ,85,18,0,EL DORADO,AMERICAN R,Sacramento Municipal Utility District,SACRAMENTO RIVER,"6,15",
CPP,CORDELIA PUMPING PLANT (KG002111),2,38.2276,-122.1347,SUISUN CITY,2,8101, , ,703,16,0,SOLANO,DELTA,CA Dept of Water Resources/O & M,SAN FRANCISCO BAY,"25,27,100,146",
CPT,CAPLES (TWIN) LAKE,8000,38.7,-120.033,KIRKWOOD,5,7701, , ,40,18,0,ALPINE,AMERICAN R,National Weather Service,SACRAMENTO RIVER,"2,45",
CRA,CORA LAKES,8400,37.598,-119.267,NORTH FORK,6,9001, , ,35,25,0,MADERA,SAN JOAQUIN R,Bass Lake Ranger District,SAN JOAQUIN RIVER,"3,18,82",
CVC,CASTRO VALLEY CR AT HAYWARD CA,100,37.679931640625,-122.080520629883,HAYWARD,2,2001, , ,58,22,0,ALAMEDA,EAST BAY,US Geological Survey,SAN FRANCISCO BAY,"1,14",
CVM,CHERRY VALLEY MET STATION,4770,37.97466,-119.916,MATHER,6,8601, , ,270,25,2,TUOLUMNE,TUOLUMNE R,City and County of San Francisco PUC,SAN JOAQUIN RIVER,"2,4,11,12,13,14,31,32,45",
CWA,COTTONWOOD CREEK AUXILIARY GAGE,364,40.3870964050293,-122.238609313965,COTTONWOOD,5,6901, , ,58,8,0,TEHAMA,COTTONWOOD CR,US Geological Survey,SACRAMENTO RIVER,"1,14,20,41",
CX2,DAILY X2 CALCULATION,0,37.8333,-122.4167,SAN FRANCISCO,2,2801, , ,700,22,0,SAN FRANCISCO,SF BAY,CA Dept of Water Resources/Flood Management,SAN FRANCISCO BAY,"145",
CYG,CYGNUS-CORDELIA SLOUGH,0,38.1527,-122.0908,FAIRFIELD,5,8101, , ,705,16,0,SOLANO,DELTA,CA Dept of Water Resources, DES,SACRAMENTO RIVER,"1,14,25,100",
DCN,D S CANAL,2900,39.26,-120.96,NEVADA CITY,5,7401, , ,81,14,0,NEVADA,YUBA R,Nevada Irrigation District,SACRAMENTO RIVER,"69",
DGY,DRY CK NR GEYSERVILLE,156,38.6986,-122.9569,GEYSERVILLE,1,1601, , ,56,16,0,SONOMA,RUSSIAN R,US Army Corps of Engineers,NORTH COAST,"1,14,20",
DID,DCID DEER CK DIVERSION NR VINA,470,40.0095,-121.95719,VINA,5,6501, , ,707,8,2,TEHAMA,SACRAMENTO R,CA Dept of Water Resources, NRO,SACRAMENTO RIVER,"1,14,20,165",
DRM,DRUM CANAL,4750,39.264,-120.73,NEVADA CITY,5,7401, , ,60,14,0,PLACER,YUBA R,Pacific Gas & Electric,SACRAMENTO RIVER,"69",
DRR,DARRINGTON,7100,38.825,-120.053,,5,7701, , ,1,18,0,EL DORADO,AMERICAN R,CA Dept of Water Resources,SACRAMENTO RIVER,"3,18,82",
DRS,DORRIS RANCH,1968,39.329,-121.108,NEVADA CITY,5,7401, , ,3,13,0,NEVADA,YUBA R,CAL FIRE,SACRAMENTO RIVER,"2,4,9,10,11,12,13,14",
DRY,DRY CREEK NEAR HEALDSBURG,90,38.5874099731445,-122.862213134766,HEALDSBURG,1,1601, , ,58,16,0,SONOMA,RUSSIAN R,US Geological Survey,NORTH COAST,"1,14,20",
DTW,DEER CK AT TRENTON WEIR,395,35.9461,-119.1808,PORTERVILLE,7,9801, , ,56,38,0,TULARE,TULARE LAKE,US Army Corps of Engineers,TULARE LAKE,"1,14",
DUC,DUDLEY RANCH BELOW COULTERVILLE,3654,37.741,-120.133,,6,8701, , ,204,24,0,MARIPOSA,MERCED R,Merced Irrigation District,SAN JOAQUIN RIVER,"2,4,14,16,30,31,32,45",
DUN,DUNCAN,7100,39.144,-120.509,FORESTHILL,5,7701, , ,44,14,0,PLACER,AMERICAN R,US Forest Service,SACRAMENTO RIVER,"2,4,9,10,11,12,13,14,26,30,31,32,77,78",
DWV,DOWNIEVILLE,2915,39.5667,-120.8333,DOWNIEVILLE,5,7401, , ,40,14,0,SIERRA,YUBA R,National Weather Service,SACRAMENTO RIVER,"2,45",
DYR,DYER RESERVOIR,805,37.76184,-121.676111,LIVERMORE,6,8101, , ,703,23,0,CONTRA COSTA,DELTA,CA Dept of Water Resources/O & M,SAN JOAQUIN RIVER,"27,62,100,114,146",
ELL,ELLERY LAKE,9600,37.938,-119.248,TUOLUMNE MEADOWS,9,10901, ,702,69,25,0,MONO,MONO LAKE,Southern California Edison Company, Bishop,SOUTH LAHONTAN,"3,18,82",
ENW,ENGLEBRIGHT WEATHER,850,39.2372,-121.2653,MARYSVILLE,5,7401, , ,56,13,0,NEVADA,YUBA R,US Army Corps of Engineers,SACRAMENTO RIVER,"2,4,14",
EPH,ELECTRA PH,720,38.333,-120.667,JACKSON,6,8301, , ,60,18,0,AMADOR,MOKELUMNE R,Pacific Gas & Electric,SAN JOAQUIN RIVER,"2,45",
EPP,EAST PIUTE PASS,10800,37.235,-118.687,,9,11001, , ,1,26,0,INYO,OWENS R,CA Dept of Water Resources,SOUTH LAHONTAN,"3,18,82",
ER3,EEL R @FERNBRIDGE-PIER 3 (CALTRANS),30,40.613,-124.202,FERNBRIDGE,1,1201, , ,6,6,0,HUMBOLDT,EEL R,CA Dept of Transportation,NORTH COAST,"14,95",
FLD,FOLSOM DAM - FOLSOM POINT (DYKE 8),350,38.693054,-121.129723,FOLSOM,5,7701, , ,40,17,13,SACRAMENTO,AMERICAN R,National Weather Service,SACRAMENTO RIVER,"2,4,9,10,12,16,17,45",
FLO,FEATHER RIVER AT LIVE OAK,65,39.248,-121.636,YUBA CITY,5,7301, , ,151,13,0,SUTTER,FEATHER R,Sutter County,SACRAMENTO RIVER,"1,14",
FNP,FINDLEY PEAK,6500,39.47,-120.572,,5,7401, , ,81,14,0,NEVADA,YUBA R,Nevada Irrigation District,SACRAMENTO RIVER,"3,18,82",
FPT,SACRAMENTO RIVER AT FREEPORT,0,38.45,-121.5,FREEPORT,5,6501, , ,58,17,0,SACRAMENTO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,"1,14,20,21,25,100,221",
FRK,FRANK'S TRACT MID TRACT,0,38.046417,-121.5981,ANTIOCH,6,8101, , ,705,16,21,CONTRA COSTA,DELTA,CA Dept of Water Resources, DES,SAN JOAQUIN RIVER,"14,25,27,28,61,62,100",
FRM,FARMINGTON (SPILL ELEV 156.5 FT),180,37.915,-120.935,FARMINGTON,6,8451, , ,56,24,0,SAN JOAQUIN,LITTLEJOHN CR,US Army Corps of Engineers,SAN JOAQUIN RIVER,"2,6,7,15,22,23,45,76,91",
FRU,FRESNO R LEWIS FORK NR OAKHURST,2295,37.345,-119.6392,OAKHURST,6,8901, , ,706,25,2,MADERA,FRESNO R,CA Dept of Water Resources/SCRO,SAN JOAQUIN RIVER,"1,14,20",
FSD,FERGUSON ROCKSLIDE DOWNSTREAM,1349,37.6601,-119.9008,MARIPOSA,6,8701, , ,44,25,0,MARIPOSA,MERCED R,US Forest Service,SAN JOAQUIN RIVER,"1,14",
FTC,FEATHER MF NR CLIO,4400,39.754,-120.595,PORTOLA,5,7301, , ,58,14,0,PLUMAS,FEATHER R,US Geological Survey,SACRAMENTO RIVER,"65,66",
FTD,FORT ORD,768,36.599,-121.753,SEASIDE,3,3301, , ,44,29,0,MONTEREY,SALINAS R,US Forest Service,CENTRAL COAST,"2,4,9,10,11,12,13,14,77,78",
GAL,ARROYO PASAJERO AT GALE AVENUE,240,36.183,-120.058,HURON,7,9925, , ,703,30,0,FRESNO,ARROYO PASAJERO,CA Dept of Water Resources/O & M,TULARE LAKE,"1,14",
GHS,GROVER HOT SPRINGS,5820,38.694,-119.817,,8,10701, , ,4,19,0,ALPINE,CARSON R,CA Dept of Parks and Recreation,NORTH LAHONTAN,"2",
GLC,GRANTLINE CANAL (USGS),10,37.8196,-121.5485,TRACY,6,9001, , ,5,23,0,SAN JOAQUIN,SAN JOAQUIN R,USGS and DWR,SAN JOAQUIN RIVER,"1,20,21,25,27,28,41,61,62,100",
GLR,GILMORE RANCH,220,38.045,-120.987,BELLOTA,6,8401, , ,139,18,0,SAN JOAQUIN,CALAVERAS R,San Joaquin County,SAN JOAQUIN RIVER,"2,16,45",
GLV,GLENVILLE FS,3140,35.717,-118.7,GLENNVILLE,7,9701, , ,115,39,0,KERN,KERN R,Kern County,TULARE LAKE,"2,45",
GNL,GIANELLI MEADOW,8400,38.204308,-119.893188,STRAWBERRY,6,8501,50,700,50,18,0,TUOLUMNE,STANISLAUS R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,16,18,30,31,32,45,82",
GSV,GRASS VALLEY,2400,39.217,-121.067,,5,7401, , ,40,13,0,NEVADA,YUBA R,National Weather Service,SACRAMENTO RIVER,"2",
GUD,GUADALUPE R-SAN JOSE AT ALMADEN EXPRESSW,150,37.280748,-121.880233,SAN JOSE,2,2205, , ,219,22,2,SANTA CLARA,GUADALUPE R,Santa Clara Valley Water District,SAN FRANCISCO BAY,"1,20,169",
HAT,HAT CK PH NO 1,3020,40.933,-121.55,BURNEY,5,6801, , ,60,9,0,SHASTA,HAT CR,Pacific Gas & Electric,SACRAMENTO RIVER,"2,45",
HIB,MERCED R AT HAPPY ISLES BR NR YOSEMITE,4016,37.7315940856934,-119.558776855469,YOSEMITE,6,8701, , ,58,25,0,MARIPOSA,MERCED R,US Geological Survey,SAN JOAQUIN RIVER,"1,14,20",
HLC,HILLCREST,3440,40.867,-121.883,BURNEY,5,6701, , ,50,9,0,SHASTA,PIT R,US Bureau of Reclamation,SACRAMENTO RIVER,"2,4,14,16,30,31,32,45",
HMC,SACRAMENTO R AT HAMILTON CITY-MAIN CH,145,39.7509231567383,-121.99787902832,HAMILTON CITY,5,6501,700,999,703,13,0,GLENN,SACRAMENTO R,CA Dept of Water Resources/O & M,SACRAMENTO RIVER,"1,14,20,41,169",
HNT,HUNTINGTON LAKE (USBR),7000,37.228,-119.221,LAKESHORE,6,9001,50,700,50,25,0,FRESNO,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"2,3,4,14,15,16,18,30,31,32,45,82,203",
HON,HONKER BAY,0,38.0724,-121.9392,FAIRFIELD,2,8101, , ,705,16,21,SOLANO,DELTA,CA Dept of Water Resources, DES,SAN FRANCISCO BAY,"14,25,27,28,61,62,100",
HOP,RUSSIAN RIVER NEAR HOPLAND,498,39.0265617370605,-123.130561828613,HOPLAND,1,1601,700,999,803,11,0,MENDOCINO,RUSSIAN R,USGS/USACE,NORTH COAST,"1,14,20,25,41,169",
HPA,TRINITY RIVER AT HOOPA,330,41.0498504638672,-123.673667907715,HOOPA,1,901,700,700,5,2,0,HUMBOLDT,TRINITY R,USGS and DWR,NORTH COAST,"1,2,14,16,20,25,45,169",
HS2,HUMBUG SUMMIT 2,4850,40.187,-121.298,HUMBUG,5,7301, , ,62,9,0,PLUMAS,FEATHER R,Pacific Gas and Electric Company, Rogers Flat,SACRAMENTO RIVER,"3,18,82",
HYG,HIGH GLADE,4840,39.204,-122.805,LAKEPORT,5,7901, , ,44,12,0,LAKE,CACHE CR,US Forest Service,SACRAMENTO RIVER,"2,4,9,10,11,12,13,14,77,78",
INV,INDIAN VALLEY,1502,39.083,-122.533,BARKERVILLE,5,7901, , ,216,12,0,LAKE,CACHE CR,Yolo County Flood Control and Water Consv Dist,SACRAMENTO RIVER,"1,6,7,14,15,16,20,22,23,45,76,94,200",
IPN,INDEPENDENCE,3950,36.798,-118.204,INDEPENDENCE,9,11001, , ,71,32,0,INYO,OWENS R,City of Los Angeles; Dept of Water and Power,SOUTH LAHONTAN,"2",
IRC,IRON CANYON,2675,41.045,-121.981,BIG BEND,5,6701, , ,60,4,0,SHASTA,PIT R,Pacific Gas & Electric,SACRAMENTO RIVER,"15",
IST,SACRAMENTO RIVER AT I STREET BRIDGE,27,38.5886726379395,-121.50496673584,SACRAMENTO,5,6501,700,999,704,999,2,SACRAMENTO,SACRAMENTO R,CA Dept of Water Resources/NCRO,SACRAMENTO RIVER,"1,14,20,169",
IWS,ISABELLA WEATHER,2660,35.6458,-118.4764,LAKE ISABELLA,7,9701, , ,56,39,0,KERN,KERN R,US Army Corps of Engineers,TULARE LAKE,"2,4,9,10,12,14,17,26,29,47,175",
KNF,KNIGHTS FERRY 2 ESE,315,37.8,-120.65,OAKDALE,6,8501, , ,999,24,0,STANISLAUS,STANISLAUS R,None Specified,SAN JOAQUIN RIVER,"2",
LBD,LOBDELL LAKE,9200,38.44,-119.377,BRIDGEPORT,8,10801, , ,54,19,0,MONO,WALKER R,Natural Resources Conservation Service,NORTH LAHONTAN,"2,3,4,18,30,31,32,82",
LEA,LAKE ALPINE RESERVOIR,7302,38.47139,-120.002777,BEAR VALLEY,6,8501, , ,615,17,37,ALPINE,STANISLAUS R,Northern California Power Agency,SAN JOAQUIN RIVER,"6,15",
LGN,TUOLUMNE R BLW LA GRANGE DAM NR LA GRANG,170,37.6663208007813,-120.442138671875,LA GRANGE,6,8601, , ,58,24,0,STANISLAUS,TUOLUMNE R,US Geological Survey,SAN JOAQUIN RIVER,"1,14,20,41",
LGR,LA GRANGE RELEASE,52,37.667,-120.462,TURLOCK,6,8601, , ,56,24,0,STANISLAUS,TUOLUMNE R,US Army Corps of Engineers,SAN JOAQUIN RIVER,"7",
LIR,LIBERTY ISLAND - RD2068,0,38.3292808532715,-121.693969726563,SACRAMENTO,5,6501,999,999,1,999,0,SOLANO,SACRAMENTO R,CA Dept of Water Resources,SACRAMENTO RIVER,"1,14,16,141",
LND,LINDSAY,420,36.2,-119.05,,7,9801, , ,40,31,0,TULARE,TULARE LAKE,National Weather Service,TULARE LAKE,"2",
LOD,LODI,40,38.1,-121.283,STOCKTON,6,8301, , ,40,17,0,SAN JOAQUIN,MOKELUMNE R,National Weather Service,SAN JOAQUIN RIVER,"2",
LTK,LITTLE TRUCKEE R BL BOCA RES,5500,39.3868522644043,-120.095474243164,TRUCKEE,8,10501, , ,58,14,0,NEVADA,TRUCKEE R,US Geological Survey,NORTH LAHONTAN,"1,14,20,25",
LVQ,LOS VAQUEROS RESERVOIR,472,37.838,-121.726,BYRON,2,8151, , ,97,23,0,CONTRA COSTA,KELLOGG CREEK,Contra Costa Water District,SAN FRANCISCO BAY,"15",
MB3,MIDDLE BOULDER 3,6200,41.225,-122.811,CALLAHAN,1,601,50,700,50,3,0,SISKIYOU,SCOTT R,US Bureau of Reclamation,NORTH COAST,"3,4,14,18,30,31,32,45,73,82",
MBL,MIDDLE BOULDER 1,6600,41.217,-122.807,CALLAHAN,1,601, , ,16,3,0,SISKIYOU,SCOTT R,Salmon/Scott River Ranger District,NORTH COAST,"3,18,82",
MCA,MCCLOUD R AT AH-DI-NA,2130,41.1105,-122.0967,DUNSMUIR,5,6601, , ,60,3,0,SHASTA,MC CLOUD R,Pacific Gas & Electric,SACRAMENTO RIVER,"1,14,20",
MCC,COSUMNES RIVER NEAR MCCONNELL,5,38.357666015625,-121.343734741211,GALT,6,8201, , ,1,999,0,SACRAMENTO,COSUMNES R,CA Dept of Water Resources,SAN JOAQUIN RIVER,"1,14,169",
MDF,MAD RIVER (USFS),2775,40.463,-123.524,EUREKA,1,1101, , ,44,7,0,TRINITY,MAD R,US Forest Service,NORTH COAST,"2,4,9,10,11,12,13,14,26,30,31,32,77,78",
MDW,MEADOW LAKE,7200,39.4060745239258,-120.506256103516,CISCO,5,7401,702,702,702,999,0,NEVADA,YUBA R,CA Dept of Water Resources/Snow Surveys,SACRAMENTO RIVER,"3,4,14,18,30,31,32,82,96,97,98,99,103,104,105",
MEN,SAN JOAQUIN RIVER NEAR MENDOTA,170,36.8105049133301,-120.378227233887,MENDOTA,6,9001,700,999,58,30,0,FRESNO,SAN JOAQUIN R,US Geological Survey,SAN JOAQUIN RIVER,"1,2,14,20,41,100,146",
MER,FEATHER RIVER AT MERRIMAC,1560,39.709,-121.27,OROVILLE,5,7301, , ,703,13,0,BUTTE,FEATHER R,CA Dept of Water Resources/O & M,SACRAMENTO RIVER,"1,14,20,41",
MFF,MERCED FALLS FOREBAY,345,37.523,-120.329,SNELLING,6,8701, , ,124,24,0,MERCED,MERCED R,Merced County,SAN JOAQUIN RIVER,"6,15",
MFR,MORRISON CREEK AT FLORIN ROAD,20,38.4985198974609,-121.452728271484,FLORIN,5,6501, , ,58,17,0,SACRAMENTO,SACRAMENTO R,US Geological Survey,SACRAMENTO RIVER,"1,14,20",
MI2,FRIANT DAM FK CANAL,581,37.001,-119.705,FRIANT,6,9001, , ,50,25,0,FRESNO,SAN JOAQUIN R,US Bureau of Reclamation,SAN JOAQUIN RIVER,"85",
MIC,MIOCENE CANAL,1000,39.69,-121.56,PARADISE,5,7301, , ,60,13,0,BUTTE,FEATHER R,Pacific Gas & Electric,SACRAMENTO RIVER,"69,110",
MIR,MINER SLOUGH NEAR SACRAMENTO RIVER,5,38.236027,-121.666055,RIO VISTA,5,6501, , ,704,16,17,SOLANO,SACRAMENTO R,CA Dept of Water Resources/NCRO,SACRAMENTO RIVER,"20,21,25,27,41,61,100,222,223,224",
MKW,MOKELUMNE AT WEST POINT,1950,38.368,-120.544,WEST POINT,6,8301, , ,58,18,0,CALAVERAS,MOKELUMNE R,US Geological Survey,SAN JOAQUIN RIVER,"65,66",
